source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000013-f01-r00001-II-1	Homo sapiens	Bone marrow	not available	not available	not available	1	experimental sample	blood plasma	PAD000013-f01-r00001-II-1	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00002-II-8	Homo sapiens	Bone marrow	not available	not available	not available	2	experimental sample	blood plasma	PAD000013-f01-r00002-II-8	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00003-V-5	Homo sapiens	Bone marrow	not available	not available	not available	3	experimental sample	blood plasma	PAD000013-f01-r00003-V-5	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00004-200170	Homo sapiens	Bone marrow	not available	not available	not available	4	quality control sample	blood plasma	PAD000013-f01-r00004-200170	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00005-240160	Homo sapiens	Bone marrow	not available	not available	not available	5	experimental sample	blood plasma	PAD000013-f01-r00005-240160	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00006-II-2	Homo sapiens	Bone marrow	not available	not available	not available	6	experimental sample	blood plasma	PAD000013-f01-r00006-II-2	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00007-II-9	Homo sapiens	Bone marrow	not available	not available	not available	7	experimental sample	blood plasma	PAD000013-f01-r00007-II-9	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00008-V-6	Homo sapiens	Bone marrow	not available	not available	not available	8	experimental sample	blood plasma	PAD000013-f01-r00008-V-6	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00009-200169	Homo sapiens	Bone marrow	not available	not available	not available	9	calibrator sample	blood plasma	PAD000013-f01-r00009-200169	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00010-II-3	Homo sapiens	Bone marrow	not available	not available	not available	10	experimental sample	blood plasma	PAD000013-f01-r00010-II-3	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00011-II-10	Homo sapiens	Bone marrow	not available	not available	not available	11	experimental sample	blood plasma	PAD000013-f01-r00011-II-10	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00012-V-7	Homo sapiens	Bone marrow	not available	not available	not available	12	experimental sample	blood plasma	PAD000013-f01-r00012-V-7	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00013-240160	Homo sapiens	Bone marrow	not available	not available	not available	13	experimental sample	blood plasma	PAD000013-f01-r00013-240160	protein expression profiling by aptamer array	2	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00014-200169	Homo sapiens	Bone marrow	not available	not available	not available	14	calibrator sample	blood plasma	PAD000013-f01-r00014-200169	protein expression profiling by aptamer array	2	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00015-200169	Homo sapiens	Bone marrow	not available	not available	not available	15	calibrator sample	blood plasma	PAD000013-f01-r00015-200169	protein expression profiling by aptamer array	3	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00016-II-4	Homo sapiens	Bone marrow	not available	not available	not available	16	experimental sample	blood plasma	PAD000013-f01-r00016-II-4	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00017-V-1	Homo sapiens	Bone marrow	not available	not available	not available	17	experimental sample	blood plasma	PAD000013-f01-r00017-V-1	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00018-V-8	Homo sapiens	Bone marrow	not available	not available	not available	18	experimental sample	blood plasma	PAD000013-f01-r00018-V-8	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00019-200170	Homo sapiens	Bone marrow	not available	not available	not available	19	quality control sample	blood plasma	PAD000013-f01-r00019-200170	protein expression profiling by aptamer array	2	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00020-II-5	Homo sapiens	Bone marrow	not available	not available	not available	20	experimental sample	blood plasma	PAD000013-f01-r00020-II-5	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-f01-r00021-V-2	Homo sapiens	Bone marrow	not available	not available	not available	21	experimental sample	blood plasma	PAD000013-f01-r00021-V-2	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
