source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000036-29	Homo sapiens	Blood	not available	not available	not available	068	not available	1	not applicable	blood plasma	PAD000036-r00001-29	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-172	Homo sapiens	Blood	not available	not available	not available	169	not available	2	not applicable	blood plasma	PAD000036-r00002-172	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-2171-Plasma00-10	Homo sapiens	Blood	not available	not available	not available	2171	not available	3	not applicable	blood plasma	PAD000036-r00003-2171-Plasma00-10	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-230066	Homo sapiens	Blood	not available	not available	not available	not available	not available	4	not applicable	blood;blood plasma;blood serum	PAD000036-r00004-230066	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-782779	Homo sapiens	Blood	not available	not available	not available	10769	not available	5	not applicable	blood plasma	PAD000036-r00005-782779	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-2561-Plasma00-10	Homo sapiens	Blood	not available	not available	not available	2561	not available	6	not applicable	blood plasma	PAD000036-r00006-2561-Plasma00-10	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10269	Homo sapiens	Blood	not available	not available	not available	10269	not available	7	not applicable	blood plasma	PAD000036-r00007-10269	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10202	Homo sapiens	Blood	not available	not available	not available	10202	not available	8	not applicable	blood plasma	PAD000036-r00008-10202	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-782786	Homo sapiens	Blood	not available	not available	not available	55832	not available	9	not applicable	blood plasma	PAD000036-r00009-782786	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10224	Homo sapiens	Blood	not available	not available	not available	10224	not available	10	not applicable	blood plasma	PAD000036-r00010-10224	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
